Date,High,Low,Open,Close,Volume,Adj Close
2012-01-02,592.9749755859375,576.5,580.5,589.2999877929688,2248542.0,482.00616455078125
2012-01-03,604.9500122070312,590.0,591.625,598.7999877929688,2708884.0,489.7765808105469
2012-01-04,602.5,584.6500244140625,602.4500122070312,586.5,2386770.0,479.71588134765625
2012-01-05,592.5,583.6749877929688,586.4000244140625,586.0,2547312.0,479.3070068359375
2012-01-06,594.1749877929688,578.4000244140625,583.0,584.7000122070312,2119728.0,478.2436828613281
2012-01-09,589.8499755859375,582.625,585.5,585.6749877929688,1509028.0,479.041259765625
2012-01-10,592.75,579.25,587.5,582.7000122070312,3591790.0,476.6080017089844
2012-01-11,587.5,566.5750122070312,585.7000122070312,568.5,5675380.0,464.9932556152344
2012-01-12,557.5,534.3250122070312,550.5,544.75,9528684.0,445.5673828125
2012-01-13,551.6749877929688,536.5,548.5750122070312,542.875,4019828.0,444.0337829589844
2012-01-16,557.0,539.4500122070312,542.0,554.7000122070312,3047202.0,453.7058410644531
2012-01-17,562.3499755859375,547.0,559.9500122070312,551.9749755859375,3704218.0,451.4768981933594
2012-01-18,548.1500244140625,522.6500244140625,540.0,538.0750122070312,11665532.0,440.1077575683594
2012-01-19,544.4500122070312,532.7000122070312,543.5,537.7750244140625,4163292.0,439.8624572753906
2012-01-20,545.4749755859375,536.5,539.9749755859375,539.75,2572694.0,441.4776611328125
2012-01-23,545.7249755859375,537.0750122070312,543.0,538.8499755859375,2130496.0,440.74169921875
2012-01-24,547.5,539.0,544.0,544.3499755859375,2641310.0,445.240234375
2012-01-25,554.9749755859375,545.5250244140625,547.4500122070312,549.0,5845238.0,450.2843933105469
2012-01-27,560.2750244140625,550.0499877929688,552.5,554.375,5209718.0,454.6929931640625
2012-01-30,559.4749755859375,550.375,551.25,555.875,2595558.0,455.9233093261719
2012-01-31,567.9500122070312,556.5,556.5,566.2000122070312,3538120.0,464.3917236328125
2012-02-01,567.5,554.125,564.7000122070312,564.3499755859375,2288804.0,462.8743591308594
2012-02-02,576.3250122070312,565.1500244140625,568.0,574.0,3386140.0,470.7891540527344
2012-02-03,588.0,570.5,572.5,585.7750244140625,2777558.0,480.44683837890625
2012-02-06,600.0250244140625,586.6749877929688,591.8499755859375,596.9249877929688,3427196.0,489.59210205078125
2012-02-07,604.8499755859375,595.9500122070312,604.8499755859375,599.0,3407656.0,491.2939147949219
2012-02-08,613.4249877929688,605.5,608.2000122070312,609.8250122070312,3627184.0,500.1725769042969
2012-02-09,616.0,594.0,605.5499877929688,614.2999877929688,3038062.0,503.8428955078125
2012-02-10,619.0,606.0,614.0,616.7000122070312,2324302.0,505.8114318847656
2012-02-13,618.9749755859375,607.0,611.0999755859375,612.8499755859375,1631770.0,502.65362548828125
2012-02-14,614.7750244140625,607.5,612.5,610.0,1826646.0,500.31610107421875
2012-02-15,624.4000244140625,609.75,613.5750122070312,620.7999877929688,2167166.0,509.174072265625
